Signatura,Denominació comercial,Subgrups,Grups,Categoria,Inici d'activitat,Estat,Municipi,Localitat,Adreça,UTM (X),UTM(Y),Places,Nombre habitacions,Explotador/s,Columna amb nova georeferència
H/1805,MONTESOL,Hostal,Allotjaments,2 estrelles,07/06/1968,Alta,CAPDEPERA,Cala Rajada,"MONTURIOL, 71. 07590 Cala Rajada, CAPDEPERA, Mallorca","539,416.41952","4,395,829.55427",75,39,MARIA FERRER MESTRE des de 17/04/2018,POINT (3.459837694366632 39.71142029804171)
H/1807,VALENTIN PAGUERA,Hotel,Allotjaments,3 estrelles,05/07/1968,Alta,CALVIÀ,Peguera,"Carrer PERAL, 3. 07160 Peguera, CALVIÀ, Mallorca","452,576.459075","4,376,809.26222",294,148,HOTELERA SAN VALENTIN SA (A07019227),POINT (2.448116888452373 39.53964058660534)
H/1809,MARBEL,Hotel,Allotjaments,3 estrelles,01/01/1969,Alta,PALMA,Can Pastilla,"PLINI, 2. 07600 Can Pastilla, PALMA, Mallorca","475,648.796586","4,376,408.24467",132,66,"MARBEL CAN PASTILLA, SL (B57690737)",POINT (2.7166273071600795 39.53699195324425)
H/1811,HOTEL BLUE SEA COSTA VERDE,Hotel,Allotjaments,3 estrelles,11/07/1968,Alta,LLUCMAJOR,Arenal (L'),"Avinguda EUROPA, 33. 07600 Arenal (L'), LLUCMAJOR, Mallorca","479,023.528033","4,371,818.37232",234,124,"HOTELS & RESORTS BLUE SEA MANAGEMENT, SL (B57817215)  des de 20/06/2019",POINT (2.756043089275488 39.49572412980048)
H/1813,BHC BOUTIQUE HOSTAL CALA MILLOR,Hostal residència,Allotjaments,1 estrella,01/11/1969,Alta,SON SERVERA,Cala Millor,"Carrer SON COMPARET, 8. 07560 Cala Millor, SON SERVERA, Mallorca","531,847.021354","4,387,905.95388",38,20,"MAY HOLDING BALEARES, S.L. (B16596975)  des de 10/08/2022",POINT (3.371151647024831 39.6403438688459)
H/1816,LA CALA,Hostal,Allotjaments,1 estrella,06/07/1968,Alta,SANTANYÍ,Cala Figuera,"VIRGEN DEL CARMEN,50, S/N. 07659 Cala Figuera, SANTANYÍ, Mallorca","514,681.804993","4,353,518.43816",26,13,LORENZO Y ANTONIA BURGUERA TOMAS CB (E07188261),POINT (3.1703483886838675 39.33095990605811)
H/1820,AMISTAD,Hostal residència,Allotjaments,1 estrella,02/07/1968,Alta,CALVIÀ,Peguera,"EIVISSA, 1. 07160 Peguera, CALVIÀ, Mallorca","452,596.81177","4,376,598.96573",38,20,"PLAZA PARIS, CB (E57534687)",POINT (2.448368728392882 39.53774691791764)
H/1851,INNSIDE BY MELIÀ CALA BLANCA,Hotel,Allotjaments,4 estrelles,01/01/1969,Alta,CALVIÀ,Palmanova,"Carrer DUQUE DE EXTREMERA , 16. 07181 Palmanova, CALVIÀ, Mallorca",,,330,165,"MELIA HOTELS INTERNATIONAL, SA (A78304516)",
H/1852,BINIAMAR,Hotel,Allotjaments,3 estrelles,01/01/1969,Alta,SANT LLORENÇ DES CARDASSAR,Cala Millor,"ALOSA, 11. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca","532,930.799321","4,383,176.83728",206,108,HOTEL BINIAMAR SL (B07020662),POINT (3.383546688248579 39.59769256897293)
H/1854,HOTEL TAL AFFILIATED BY FERGUS,Hotel,Allotjaments,3 estrelles,01/01/1969,Alta,LLUCMAJOR,Arenal (L'),"Carrer MARIA ANTONIA SALVA, 44. 07600 Arenal (L'), LLUCMAJOR, Mallorca","478,927.708545","4,372,377.59568",378,198,FERGUSMED S.L. (B57813602)  des de 07/02/2023,POINT (2.75491102029386 39.50076066926736)
H/1855,VICA,Fonda,Allotjaments,,22/04/1969,Alta,PALMA,Can Pastilla,"Carretera CAN PASTILLA, 57. Can Pastilla, PALMA, Mallorca","476,046.985472","4,376,257.36248",12,6,"BARES Y APARTAMENTOS MARACAIBO, SL (B57338386)",POINT (2.721266379690924 39.53564364524476)
H/1856,PETIT HOSTAL VENTURA,Hostal,Allotjaments,2 estrelles,19/07/1968,Alta,SANTANYÍ,Cala Figuera,"Carrer PINTOR BENNAREGGI, 17. 07659 Cala Figuera, SANTANYÍ, Mallorca","514,557.719353","4,353,453.00896",74,38,"MALLORCA ONLINE SERVICES, SL. (B57538902)  des de 08/05/2019",POINT (3.1689072492988437 39.33037243432361)
H/1862,BLUE SEA CALA MILLOR-III,Hotel,Allotjaments,3 estrelles,01/01/1970,Alta,SANT LLORENÇ DES CARDASSAR,Cala Millor,"Carrer PRIMAVERA, 4. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca","532,966.266046","4,383,359.670675",57,30,"HOTELS & RESORTS BLUE SEA MANAGEMENT, SL (B57817215)  des de 20/06/2019",POINT (3.383968858423766 39.5993385748071)
H/1863,PLANET ONE,Hotel,Allotjaments,3 estrelles,01/01/1969,Alta,PALMA,Platja De Palma,"Carrer TRASIMENO, 26. 07600 Platja De Palma, PALMA, Mallorca",,,171,90,GASTRO UND SERVICEGESELLSCHAFT (B57959124),
H/1865,NEPTUNO,Hostal residència,Allotjaments,3 estrelles,18/04/1969,Alta,CALVIÀ,Peguera,"ROSER, 2. 07160 Peguera, CALVIÀ, Mallorca","452,563.687317","4,376,573.27491",50,28,MANBA BUSINESS S.L. (B57821761),POINT (2.4479851092310514 39.53751361106477)
H/1867,SAN FRANCISCO,Hostal residència,Allotjaments,1 estrella,18/04/1969,Alta,SANTANYÍ,Cala D'Or,"TAGOMAGO, 18. 07660 Cala D'Or, SANTANYÍ, Mallorca","519,764.027433","4,358,392.72072",42,21,HOSTAL SAN FRANCISCO CB (E07659204),POINT (3.229459056256631 39.37477955702468)
